CHROM	FRAG_START	FRAG_STOP	STRAND	DESCRIPTION	MODEL
Chr1	4858642	4859601	-	"ID=AT1G14220.1-Protein;Name=AT1G14220.1;Derives_from=AT1G14220.1"	AT1G14220.1
Chr1	4860515	4860649	-	"ID=AT1G14225.1-Protein;Name=AT1G14225.1;Derives_from=AT1G14225.1"	AT1G14225.1
Chr1	4861497	4863991	+	"ID=AT1G14230.1-Protein;Name=AT1G14230.1;Derives_from=AT1G14230.1"	AT1G14230.1
Chr1	4865159	4867777	+	"ID=AT1G14240.1-Protein;Name=AT1G14240.1;Derives_from=AT1G14240.1"	AT1G14240.1
Chr1	4865159	4867777	+	"ID=AT1G14240.2-Protein;Name=AT1G14240.2;Derives_from=AT1G14240.2"	AT1G14240.2
Chr1	4865159	4867777	+	"ID=AT1G14240.3-Protein;Name=AT1G14240.3;Derives_from=AT1G14240.3"	AT1G14240.3
Chr1	4865159	4867777	+	"ID=AT1G14240.4-Protein;Name=AT1G14240.4;Derives_from=AT1G14240.4"	AT1G14240.4
Chr1	4868675	4871203	+	"ID=AT1G14250.1-Protein;Name=AT1G14250.1;Derives_from=AT1G14250.1"	AT1G14250.1
Chr1	4873200	4874430	+	"ID=AT1G14260.1-Protein;Name=AT1G14260.1;Derives_from=AT1G14260.1"	AT1G14260.1
Chr1	4873200	4874430	+	"ID=AT1G14260.2-Protein;Name=AT1G14260.2;Derives_from=AT1G14260.2"	AT1G14260.2
Chr1	4875099	4877195	-	"ID=AT1G14270.1-Protein;Name=AT1G14270.1;Derives_from=AT1G14270.1"	AT1G14270.1
Chr1	4875099	4876503	-	"ID=AT1G14270.2-Protein;Name=AT1G14270.2;Derives_from=AT1G14270.2"	AT1G14270.2
Chr1	4875099	4876443	-	"ID=AT1G14270.3-Protein;Name=AT1G14270.3;Derives_from=AT1G14270.3"	AT1G14270.3
Chr1	4875099	4876443	-	"ID=AT1G14270.4-Protein;Name=AT1G14270.4;Derives_from=AT1G14270.4"	AT1G14270.4
Chr1	4877657	4878985	+	"ID=AT1G14280.1-Protein;Name=AT1G14280.1;Derives_from=AT1G14280.1"	AT1G14280.1
Chr1	4880307	4881784	-	"ID=AT1G14290.1-Protein;Name=AT1G14290.1;Derives_from=AT1G14290.1"	AT1G14290.1
Chr1	4882654	4884686	-	"ID=AT1G14300.1-Protein;Name=AT1G14300.1;Derives_from=AT1G14300.1"	AT1G14300.1
Chr1	4882654	4884686	-	"ID=AT1G14300.2-Protein;Name=AT1G14300.2;Derives_from=AT1G14300.2"	AT1G14300.2
Chr1	4885049	4886672	+	"ID=AT1G14310.1-Protein;Name=AT1G14310.1;Derives_from=AT1G14310.1"	AT1G14310.1
Chr1	4886861	4887439	-	"ID=AT1G14315.1-Protein;Name=AT1G14315.1;Derives_from=AT1G14315.1"	AT1G14315.1
Chr1	4886861	4887933	-	"ID=AT1G14315.2-Protein;Name=AT1G14315.2;Derives_from=AT1G14315.2"	AT1G14315.2
Chr1	4888270	4889408	+	"ID=AT1G14320.1-Protein;Name=AT1G14320.1;Derives_from=AT1G14320.1"	AT1G14320.1
Chr1	4888270	4889408	+	"ID=AT1G14320.2-Protein;Name=AT1G14320.2;Derives_from=AT1G14320.2"	AT1G14320.2
Chr1	4890375	4891700	-	"ID=AT1G14330.1-Protein;Name=AT1G14330.1;Derives_from=AT1G14330.1"	AT1G14330.1
Chr1	4897709	4898776	+	"ID=AT1G14340.1-Protein;Name=AT1G14340.1;Derives_from=AT1G14340.1"	AT1G14340.1
Chr1	4899176	4899766	+	"ID=AT1G14345.1-Protein;Name=AT1G14345.1;Derives_from=AT1G14345.1"	AT1G14345.1
Chr1	4908427	4910647	+	"ID=AT1G14350.1-Protein;Name=AT1G14350.1;Derives_from=AT1G14350.1"	AT1G14350.1
Chr1	4908427	4910647	+	"ID=AT1G14350.2-Protein;Name=AT1G14350.2;Derives_from=AT1G14350.2"	AT1G14350.2
Chr1	4911362	4913029	-	"ID=AT1G14360.1-Protein;Name=AT1G14360.1;Derives_from=AT1G14360.1"	AT1G14360.1
Chr1	4915859	4917959	+	"ID=AT1G14370.1-Protein;Name=AT1G14370.1;Derives_from=AT1G14370.1"	AT1G14370.1
Chr1	4918279	4920761	-	"ID=AT1G14380.1-Protein;Name=AT1G14380.1;Derives_from=AT1G14380.1"	AT1G14380.1
Chr1	4918279	4920761	-	"ID=AT1G14380.2-Protein;Name=AT1G14380.2;Derives_from=AT1G14380.2"	AT1G14380.2
Chr1	4918279	4920761	-	"ID=AT1G14380.3-Protein;Name=AT1G14380.3;Derives_from=AT1G14380.3"	AT1G14380.3
Chr1	4924277	4926794	+	"ID=AT1G14390.1-Protein;Name=AT1G14390.1;Derives_from=AT1G14390.1"	AT1G14390.1
Chr1	4927294	4928136	-	"ID=AT1G14400.1-Protein;Name=AT1G14400.1;Derives_from=AT1G14400.1"	AT1G14400.1
Chr1	4927294	4928136	-	"ID=AT1G14400.2-Protein;Name=AT1G14400.2;Derives_from=AT1G14400.2"	AT1G14400.2
Chr1	4929352	4930810	-	"ID=AT1G14410.1-Protein;Name=AT1G14410.1;Derives_from=AT1G14410.1"	AT1G14410.1
Chr1	4931844	4933405	-	"ID=AT1G14420.1-Protein;Name=AT1G14420.1;Derives_from=AT1G14420.1"	AT1G14420.1
Chr1	4934359	4936053	+	"ID=AT1G14430.1-Protein;Name=AT1G14430.1;Derives_from=AT1G14430.1"	AT1G14430.1
Chr1	4939076	4940014	-	"ID=AT1G14440.1-Protein;Name=AT1G14440.1;Derives_from=AT1G14440.1"	AT1G14440.1
Chr1	4939076	4940014	-	"ID=AT1G14440.2-Protein;Name=AT1G14440.2;Derives_from=AT1G14440.2"	AT1G14440.2
Chr1	4947337	4947558	-	"ID=AT1G14450.1-Protein;Name=AT1G14450.1;Derives_from=AT1G14450.1"	AT1G14450.1
Chr1	4947985	4948278	-	"ID=AT1G14455.1-Protein;Name=AT1G14455.1;Derives_from=AT1G14455.1"	AT1G14455.1
Chr1	4948962	4952750	-	"ID=AT1G14460.1-Protein;Name=AT1G14460.1;Derives_from=AT1G14460.1"	AT1G14460.1
Chr1	4954080	4955702	+	"ID=AT1G14470.1-Protein;Name=AT1G14470.1;Derives_from=AT1G14470.1"	AT1G14470.1
Chr1	4956404	4957888	+	"ID=AT1G14480.1-Protein;Name=AT1G14480.1;Derives_from=AT1G14480.1"	AT1G14480.1
Chr1	4956404	4957888	+	"ID=AT1G14480.2-Protein;Name=AT1G14480.2;Derives_from=AT1G14480.2"	AT1G14480.2
Chr1	4958705	4959325	-	"ID=AT1G14490.1-Protein;Name=AT1G14490.1;Derives_from=AT1G14490.1"	AT1G14490.1
Chr1	4960375	4961780	+	"ID=AT1G14500.1-Protein;Name=AT1G14500.1;Derives_from=AT1G14500.1"	AT1G14500.1
Chr1	4962171	4964154	-	"ID=AT1G14510.1-Protein;Name=AT1G14510.1;Derives_from=AT1G14510.1"	AT1G14510.1
Chr1	4968376	4969954	-	"ID=AT1G14520.1-Protein;Name=AT1G14520.1;Derives_from=AT1G14520.1"	AT1G14520.1
Chr1	4968376	4969954	-	"ID=AT1G14520.2-Protein;Name=AT1G14520.2;Derives_from=AT1G14520.2"	AT1G14520.2
Chr1	4971420	4973597	-	"ID=AT1G14530.1-Protein;Name=AT1G14530.1;Derives_from=AT1G14530.1"	AT1G14530.1
Chr1	4971420	4973597	-	"ID=AT1G14530.2-Protein;Name=AT1G14530.2;Derives_from=AT1G14530.2"	AT1G14530.2
Chr1	4974233	4975600	-	"ID=AT1G14540.1-Protein;Name=AT1G14540.1;Derives_from=AT1G14540.1"	AT1G14540.1
Chr1	4978794	4978907	-	"ID=AT1G14549.1-Protein;Name=AT1G14549.1;Derives_from=AT1G14549.1"	AT1G14549.1
Chr1	4979028	4980324	+	"ID=AT1G14550.1-Protein;Name=AT1G14550.1;Derives_from=AT1G14550.1"	AT1G14550.1
Chr1	4981300	4983082	+	"ID=AT1G14560.1-Protein;Name=AT1G14560.1;Derives_from=AT1G14560.1"	AT1G14560.1
Chr1	4983770	4987192	+	"ID=AT1G14570.1-Protein;Name=AT1G14570.1;Derives_from=AT1G14570.1"	AT1G14570.1
Chr1	4983770	4987192	+	"ID=AT1G14570.2-Protein;Name=AT1G14570.2;Derives_from=AT1G14570.2"	AT1G14570.2
Chr1	4983770	4987192	+	"ID=AT1G14570.3-Protein;Name=AT1G14570.3;Derives_from=AT1G14570.3"	AT1G14570.3
Chr1	4983770	4987192	+	"ID=AT1G14570.4-Protein;Name=AT1G14570.4;Derives_from=AT1G14570.4"	AT1G14570.4
Chr1	4990070	4992442	+	"ID=AT1G14580.1-Protein;Name=AT1G14580.1;Derives_from=AT1G14580.1"	AT1G14580.1
Chr1	4990070	4992442	+	"ID=AT1G14580.2-Protein;Name=AT1G14580.2;Derives_from=AT1G14580.2"	AT1G14580.2
Chr1	4998957	5000617	-	"ID=AT1G14590.1-Protein;Name=AT1G14590.1;Derives_from=AT1G14590.1"	AT1G14590.1
Chr1	5001185	5003370	-	"ID=AT1G14600.1-Protein;Name=AT1G14600.1;Derives_from=AT1G14600.1"	AT1G14600.1
Chr1	5008502	5014486	-	"ID=AT1G14610.1-Protein;Name=AT1G14610.1;Derives_from=AT1G14610.1"	AT1G14610.1
Chr1	5014948	5016501	-	"ID=AT1G14620.1-Protein;Name=AT1G14620.1;Derives_from=AT1G14620.1"	AT1G14620.1
Chr1	5014985	5016501	-	"ID=AT1G14620.2-Protein;Name=AT1G14620.2;Derives_from=AT1G14620.2"	AT1G14620.2
Chr1	5019995	5021445	+	"ID=AT1G14630.1-Protein;Name=AT1G14630.1;Derives_from=AT1G14630.1"	AT1G14630.1
Chr1	5023656	5025955	+	"ID=AT1G14640.1-Protein;Name=AT1G14640.1;Derives_from=AT1G14640.1"	AT1G14640.1
Chr1	5026364	5026558	+	"ID=AT1G14642.1-Protein;Name=AT1G14642.1;Derives_from=AT1G14642.1"	AT1G14642.1
Chr1	5028077	5030520	+	"ID=AT1G14650.1-Protein;Name=AT1G14650.1;Derives_from=AT1G14650.1"	AT1G14650.1
Chr1	5028077	5030520	+	"ID=AT1G14650.2-Protein;Name=AT1G14650.2;Derives_from=AT1G14650.2"	AT1G14650.2
Chr1	5032163	5036439	-	"ID=AT1G14660.1-Protein;Name=AT1G14660.1;Derives_from=AT1G14660.1"	AT1G14660.1
Chr1	5032163	5036439	-	"ID=AT1G14660.2-Protein;Name=AT1G14660.2;Derives_from=AT1G14660.2"	AT1G14660.2
Chr1	5037669	5040199	+	"ID=AT1G14670.1-Protein;Name=AT1G14670.1;Derives_from=AT1G14670.1"	AT1G14670.1
Chr1	5040861	5041733	+	"ID=AT1G14680.1-Protein;Name=AT1G14680.1;Derives_from=AT1G14680.1"	AT1G14680.1
Chr1	5043086	5043925	+	"ID=AT1G14685.1-Protein;Name=AT1G14685.1;Derives_from=AT1G14685.1"	AT1G14685.1
Chr1	5043086	5043925	+	"ID=AT1G14685.2-Protein;Name=AT1G14685.2;Derives_from=AT1G14685.2"	AT1G14685.2
Chr1	5043086	5043925	+	"ID=AT1G14685.3-Protein;Name=AT1G14685.3;Derives_from=AT1G14685.3"	AT1G14685.3
Chr1	5045781	5046800	-	"ID=AT1G14686.1-Protein;Name=AT1G14686.1;Derives_from=AT1G14686.1"	AT1G14686.1
Chr1	5048046	5048552	+	"ID=AT1G14687.1-Protein;Name=AT1G14687.1;Derives_from=AT1G14687.1"	AT1G14687.1
Chr1	5049654	5050983	-	"ID=AT1G14688.1-Protein;Name=AT1G14688.1;Derives_from=AT1G14688.1"	AT1G14688.1
Chr1	5052090	5054936	-	"ID=AT1G14690.1-Protein;Name=AT1G14690.1;Derives_from=AT1G14690.1"	AT1G14690.1
Chr1	5052090	5054936	-	"ID=AT1G14690.2-Protein;Name=AT1G14690.2;Derives_from=AT1G14690.2"	AT1G14690.2
Chr1	5058680	5060988	+	"ID=AT1G14700.1-Protein;Name=AT1G14700.1;Derives_from=AT1G14700.1"	AT1G14700.1
Chr1	5058680	5060988	+	"ID=AT1G14700.2-Protein;Name=AT1G14700.2;Derives_from=AT1G14700.2"	AT1G14700.2
Chr1	5062168	5064697	-	"ID=AT1G14710.1-Protein;Name=AT1G14710.1;Derives_from=AT1G14710.1"	AT1G14710.1
Chr1	5062168	5064697	-	"ID=AT1G14710.2-Protein;Name=AT1G14710.2;Derives_from=AT1G14710.2"	AT1G14710.2
Chr1	5066806	5068466	-	"ID=AT1G14720.1-Protein;Name=AT1G14720.1;Derives_from=AT1G14720.1"	AT1G14720.1
Chr1	5073244	5074568	+	"ID=AT1G14730.1-Protein;Name=AT1G14730.1;Derives_from=AT1G14730.1"	AT1G14730.1
Chr1	5075450	5077732	-	"ID=AT1G14740.1-Protein;Name=AT1G14740.1;Derives_from=AT1G14740.1"	AT1G14740.1
Chr1	5079674	5082423	-	"ID=AT1G14750.1-Protein;Name=AT1G14750.1;Derives_from=AT1G14750.1"	AT1G14750.1
Chr1	5079674	5082423	-	"ID=AT1G14750.2-Protein;Name=AT1G14750.2;Derives_from=AT1G14750.2"	AT1G14750.2
Chr1	5083765	5084098	+	"ID=AT1G14755.1-Protein;Name=AT1G14755.1;Derives_from=AT1G14755.1"	AT1G14755.1
Chr1	5084688	5085213	-	"ID=AT1G14760.1-Protein;Name=AT1G14760.1;Derives_from=AT1G14760.1"	AT1G14760.1
Chr1	5084530	5085213	-	"ID=AT1G14760.2-Protein;Name=AT1G14760.2;Derives_from=AT1G14760.2"	AT1G14760.2
Chr1	5084530	5085213	-	"ID=AT1G14760.3-Protein;Name=AT1G14760.3;Derives_from=AT1G14760.3"	AT1G14760.3
Chr1	5086867	5088437	-	"ID=AT1G14770.1-Protein;Name=AT1G14770.1;Derives_from=AT1G14770.1"	AT1G14770.1
Chr1	5086867	5088437	-	"ID=AT1G14770.2-Protein;Name=AT1G14770.2;Derives_from=AT1G14770.2"	AT1G14770.2
Chr1	5091020	5093873	+	"ID=AT1G14780.1-Protein;Name=AT1G14780.1;Derives_from=AT1G14780.1"	AT1G14780.1
Chr1	5094317	5097817	-	"ID=AT1G14790.1-Protein;Name=AT1G14790.1;Derives_from=AT1G14790.1"	AT1G14790.1
Chr1	5099572	5102558	+	"ID=AT1G14800.1-Protein;Name=AT1G14800.1;Derives_from=AT1G14800.1"	AT1G14800.1
Chr1	5102684	5104633	-	"ID=AT1G14810.1-Protein;Name=AT1G14810.1;Derives_from=AT1G14810.1"	AT1G14810.1
Chr1	5105237	5106454	-	"ID=AT1G14820.1-Protein;Name=AT1G14820.1;Derives_from=AT1G14820.1"	AT1G14820.1
Chr1	5105237	5106454	-	"ID=AT1G14820.2-Protein;Name=AT1G14820.2;Derives_from=AT1G14820.2"	AT1G14820.2
Chr1	5105237	5106793	-	"ID=AT1G14820.3-Protein;Name=AT1G14820.3;Derives_from=AT1G14820.3"	AT1G14820.3
Chr1	5107699	5111470	-	"ID=AT1G14830.1-Protein;Name=AT1G14830.1;Derives_from=AT1G14830.1"	AT1G14830.1
Chr1	5112415	5115299	-	"ID=AT1G14840.1-Protein;Name=AT1G14840.1;Derives_from=AT1G14840.1"	AT1G14840.1
Chr1	5112415	5115299	-	"ID=AT1G14840.2-Protein;Name=AT1G14840.2;Derives_from=AT1G14840.2"	AT1G14840.2
Chr1	5116921	5123259	-	"ID=AT1G14850.1-Protein;Name=AT1G14850.1;Derives_from=AT1G14850.1"	AT1G14850.1
Chr1	5124993	5125805	+	"ID=AT1G14860.1-Protein;Name=AT1G14860.1;Derives_from=AT1G14860.1"	AT1G14860.1
Chr1	5128591	5129458	-	"ID=AT1G14870.1-Protein;Name=AT1G14870.1;Derives_from=AT1G14870.1"	AT1G14870.1
Chr1	5132791	5133663	-	"ID=AT1G14880.1-Protein;Name=AT1G14880.1;Derives_from=AT1G14880.1"	AT1G14880.1
Chr1	5137045	5137704	+	"ID=AT1G14890.1-Protein;Name=AT1G14890.1;Derives_from=AT1G14890.1"	AT1G14890.1
Chr1	5138665	5139353	-	"ID=AT1G14900.1-Protein;Name=AT1G14900.1;Derives_from=AT1G14900.1"	AT1G14900.1
Chr1	5139928	5143571	-	"ID=AT1G14910.1-Protein;Name=AT1G14910.1;Derives_from=AT1G14910.1"	AT1G14910.1
Chr1	5149414	5151015	+	"ID=AT1G14920.1-Protein;Name=AT1G14920.1;Derives_from=AT1G14920.1"	AT1G14920.1
Chr1	5152465	5153035	-	"ID=AT1G14930.1-Protein;Name=AT1G14930.1;Derives_from=AT1G14930.1"	AT1G14930.1
Chr1	5154775	5155512	-	"ID=AT1G14940.1-Protein;Name=AT1G14940.1;Derives_from=AT1G14940.1"	AT1G14940.1
Chr1	5154775	5155512	-	"ID=AT1G14940.2-Protein;Name=AT1G14940.2;Derives_from=AT1G14940.2"	AT1G14940.2
Chr1	5157588	5158144	-	"ID=AT1G14950.1-Protein;Name=AT1G14950.1;Derives_from=AT1G14950.1"	AT1G14950.1
Chr1	5159334	5159992	-	"ID=AT1G14960.1-Protein;Name=AT1G14960.1;Derives_from=AT1G14960.1"	AT1G14960.1
Chr1	5162085	5164917	-	"ID=AT1G14970.1-Protein;Name=AT1G14970.1;Derives_from=AT1G14970.1"	AT1G14970.1
Chr1	5165930	5166654	-	"ID=AT1G14980.1-Protein;Name=AT1G14980.1;Derives_from=AT1G14980.1"	AT1G14980.1
Chr1	5167354	5168151	-	"ID=AT1G14990.1-Protein;Name=AT1G14990.1;Derives_from=AT1G14990.1"	AT1G14990.1
Chr1	5167354	5168151	-	"ID=AT1G14990.2-Protein;Name=AT1G14990.2;Derives_from=AT1G14990.2"	AT1G14990.2
Chr1	5168613	5169947	+	"ID=AT1G15000.1-Protein;Name=AT1G15000.1;Derives_from=AT1G15000.1"	AT1G15000.1
Chr1	5171215	5171643	+	"ID=AT1G15010.1-Protein;Name=AT1G15010.1;Derives_from=AT1G15010.1"	AT1G15010.1
Chr1	5172340	5172822	+	"ID=AT1G15015.1-Protein;Name=AT1G15015.1;Derives_from=AT1G15015.1"	AT1G15015.1
Chr1	5173246	5176105	-	"ID=AT1G15020.1-Protein;Name=AT1G15020.1;Derives_from=AT1G15020.1"	AT1G15020.1
Chr1	5173341	5176105	-	"ID=AT1G15020.2-Protein;Name=AT1G15020.2;Derives_from=AT1G15020.2"	AT1G15020.2
Chr1	5177895	5179853	+	"ID=AT1G15030.1-Protein;Name=AT1G15030.1;Derives_from=AT1G15030.1"	AT1G15030.1
Chr1	5180038	5181315	-	"ID=AT1G15040.1-Protein;Name=AT1G15040.1;Derives_from=AT1G15040.1"	AT1G15040.1
Chr1	5180314	5181315	-	"ID=AT1G15040.2-Protein;Name=AT1G15040.2;Derives_from=AT1G15040.2"	AT1G15040.2
Chr1	5181857	5181964	+	"ID=AT1G15045.1-Protein;Name=AT1G15045.1;Derives_from=AT1G15045.1"	AT1G15045.1
Chr1	5182256	5183243	-	"ID=AT1G15050.1-Protein;Name=AT1G15050.1;Derives_from=AT1G15050.1"	AT1G15050.1
Chr1	5184053	5186856	-	"ID=AT1G15060.1-Protein;Name=AT1G15060.1;Derives_from=AT1G15060.1"	AT1G15060.1
Chr1	5188080	5189476	+	"ID=AT1G15080.1-Protein;Name=AT1G15080.1;Derives_from=AT1G15080.1"	AT1G15080.1
Chr1	5193703	5194170	-	"ID=AT1G15100.1-Protein;Name=AT1G15100.1;Derives_from=AT1G15100.1"	AT1G15100.1
Chr1	5199594	5201908	+	"ID=AT1G15110.1-Protein;Name=AT1G15110.1;Derives_from=AT1G15110.1"	AT1G15110.1
Chr1	5199594	5201988	+	"ID=AT1G15110.2-Protein;Name=AT1G15110.2;Derives_from=AT1G15110.2"	AT1G15110.2
Chr1	5203091	5203897	+	"ID=AT1G15120.1-Protein;Name=AT1G15120.1;Derives_from=AT1G15120.1"	AT1G15120.1
Chr1	5202648	5203950	+	"ID=AT1G15120.2-Protein;Name=AT1G15120.2;Derives_from=AT1G15120.2"	AT1G15120.2
Chr1	5204625	5205912	+	"ID=AT1G15125.1-Protein;Name=AT1G15125.1;Derives_from=AT1G15125.1"	AT1G15125.1
Chr1	5206217	5209848	-	"ID=AT1G15130.1-Protein;Name=AT1G15130.1;Derives_from=AT1G15130.1"	AT1G15130.1
Chr1	5210403	5212137	-	"ID=AT1G15140.1-Protein;Name=AT1G15140.1;Derives_from=AT1G15140.1"	AT1G15140.1
Chr1	5210642	5212137	-	"ID=AT1G15140.2-Protein;Name=AT1G15140.2;Derives_from=AT1G15140.2"	AT1G15140.2
Chr1	5210642	5212137	-	"ID=AT1G15140.3-Protein;Name=AT1G15140.3;Derives_from=AT1G15140.3"	AT1G15140.3
Chr1	5212674	5214723	+	"ID=AT1G15150.1-Protein;Name=AT1G15150.1;Derives_from=AT1G15150.1"	AT1G15150.1
Chr1	5215475	5217545	+	"ID=AT1G15160.1-Protein;Name=AT1G15160.1;Derives_from=AT1G15160.1"	AT1G15160.1
Chr1	5217719	5220067	-	"ID=AT1G15165.1-Protein;Name=AT1G15165.1;Derives_from=AT1G15165.1"	AT1G15165.1
Chr1	5220690	5222756	+	"ID=AT1G15170.1-Protein;Name=AT1G15170.1;Derives_from=AT1G15170.1"	AT1G15170.1
Chr1	5224452	5226531	+	"ID=AT1G15180.1-Protein;Name=AT1G15180.1;Derives_from=AT1G15180.1"	AT1G15180.1
Chr1	5224916	5226494	+	"ID=AT1G15180.2-Protein;Name=AT1G15180.2;Derives_from=AT1G15180.2"	AT1G15180.2
Chr1	5227275	5228021	+	"ID=AT1G15190.1-Protein;Name=AT1G15190.1;Derives_from=AT1G15190.1"	AT1G15190.1
Chr1	5228477	5231017	-	"ID=AT1G15200.1-Protein;Name=AT1G15200.1;Derives_from=AT1G15200.1"	AT1G15200.1
Chr1	5228477	5231017	-	"ID=AT1G15200.2-Protein;Name=AT1G15200.2;Derives_from=AT1G15200.2"	AT1G15200.2
Chr1	5228477	5231017	-	"ID=AT1G15200.3-Protein;Name=AT1G15200.3;Derives_from=AT1G15200.3"	AT1G15200.3
Chr1	5228477	5231017	-	"ID=AT1G15200.4-Protein;Name=AT1G15200.4;Derives_from=AT1G15200.4"	AT1G15200.4
Chr1	5231552	5236573	-	"ID=AT1G15210.1-Protein;Name=AT1G15210.1;Derives_from=AT1G15210.1"	AT1G15210.1
Chr1	5238238	5239741	+	"ID=AT1G15215.1-Protein;Name=AT1G15215.1;Derives_from=AT1G15215.1"	AT1G15215.1
Chr1	5238096	5239770	+	"ID=AT1G15215.2-Protein;Name=AT1G15215.2;Derives_from=AT1G15215.2"	AT1G15215.2
Chr1	5238096	5239741	+	"ID=AT1G15215.3-Protein;Name=AT1G15215.3;Derives_from=AT1G15215.3"	AT1G15215.3
Chr1	5240471	5241117	-	"ID=AT1G15220.1-Protein;Name=AT1G15220.1;Derives_from=AT1G15220.1"	AT1G15220.1
Chr1	5240471	5241117	-	"ID=AT1G15220.2-Protein;Name=AT1G15220.2;Derives_from=AT1G15220.2"	AT1G15220.2
Chr1	5242729	5243196	-	"ID=AT1G15230.1-Protein;Name=AT1G15230.1;Derives_from=AT1G15230.1"	AT1G15230.1
Chr1	5243799	5246495	+	"ID=AT1G15240.1-Protein;Name=AT1G15240.1;Derives_from=AT1G15240.1"	AT1G15240.1
Chr1	5243799	5248604	+	"ID=AT1G15240.2-Protein;Name=AT1G15240.2;Derives_from=AT1G15240.2"	AT1G15240.2
Chr1	5243799	5248498	+	"ID=AT1G15240.3-Protein;Name=AT1G15240.3;Derives_from=AT1G15240.3"	AT1G15240.3
Chr1	5248825	5249381	-	"ID=AT1G15250.1-Protein;Name=AT1G15250.1;Derives_from=AT1G15250.1"	AT1G15250.1
Chr1	5249834	5250370	+	"ID=AT1G15260.1-Protein;Name=AT1G15260.1;Derives_from=AT1G15260.1"	AT1G15260.1
Chr1	5250833	5252020	-	"ID=AT1G15270.1-Protein;Name=AT1G15270.1;Derives_from=AT1G15270.1"	AT1G15270.1
Chr1	5252538	5256214	+	"ID=AT1G15280.1-Protein;Name=AT1G15280.1;Derives_from=AT1G15280.1"	AT1G15280.1
Chr1	5252538	5256214	+	"ID=AT1G15280.2-Protein;Name=AT1G15280.2;Derives_from=AT1G15280.2"	AT1G15280.2
Chr1	5257327	5264814	-	"ID=AT1G15290.1-Protein;Name=AT1G15290.1;Derives_from=AT1G15290.1"	AT1G15290.1
Chr1	5269173	5271947	-	"ID=AT1G15310.1-Protein;Name=AT1G15310.1;Derives_from=AT1G15310.1"	AT1G15310.1
Chr1	5272468	5273699	-	"ID=AT1G15320.1-Protein;Name=AT1G15320.1;Derives_from=AT1G15320.1"	AT1G15320.1
Chr1	5272468	5274029	-	"ID=AT1G15320.2-Protein;Name=AT1G15320.2;Derives_from=AT1G15320.2"	AT1G15320.2
Chr1	5274368	5275499	+	"ID=AT1G15330.1-Protein;Name=AT1G15330.1;Derives_from=AT1G15330.1"	AT1G15330.1
Chr1	5275895	5277474	-	"ID=AT1G15340.1-Protein;Name=AT1G15340.1;Derives_from=AT1G15340.1"	AT1G15340.1
Chr1	5275895	5277474	-	"ID=AT1G15340.2-Protein;Name=AT1G15340.2;Derives_from=AT1G15340.2"	AT1G15340.2
Chr1	5278481	5279486	-	"ID=AT1G15350.1-Protein;Name=AT1G15350.1;Derives_from=AT1G15350.1"	AT1G15350.1
Chr1	5278481	5279486	-	"ID=AT1G15350.2-Protein;Name=AT1G15350.2;Derives_from=AT1G15350.2"	AT1G15350.2
Chr1	5278481	5279056	-	"ID=AT1G15350.3-Protein;Name=AT1G15350.3;Derives_from=AT1G15350.3"	AT1G15350.3
Chr1	5283609	5284506	+	"ID=AT1G15360.1-Protein;Name=AT1G15360.1;Derives_from=AT1G15360.1"	AT1G15360.1
Chr1	5287135	5288375	+	"ID=AT1G15370.1-Protein;Name=AT1G15370.1;Derives_from=AT1G15370.1"	AT1G15370.1
Chr1	5290955	5292287	+	"ID=AT1G15380.1-Protein;Name=AT1G15380.1;Derives_from=AT1G15380.1"	AT1G15380.1
Chr1	5290955	5292287	+	"ID=AT1G15380.2-Protein;Name=AT1G15380.2;Derives_from=AT1G15380.2"	AT1G15380.2
Chr1	5292976	5293197	-	"ID=AT1G15385.1-Protein;Name=AT1G15385.1;Derives_from=AT1G15385.1"	AT1G15385.1
Chr1	5294653	5295625	+	"ID=AT1G15390.1-Protein;Name=AT1G15390.1;Derives_from=AT1G15390.1"	AT1G15390.1
Chr1	5296033	5296824	-	"ID=AT1G15400.1-Protein;Name=AT1G15400.1;Derives_from=AT1G15400.1"	AT1G15400.1
Chr1	5296402	5296824	-	"ID=AT1G15400.2-Protein;Name=AT1G15400.2;Derives_from=AT1G15400.2"	AT1G15400.2
Chr1	5296019	5296824	-	"ID=AT1G15400.3-Protein;Name=AT1G15400.3;Derives_from=AT1G15400.3"	AT1G15400.3
Chr1	5299577	5300681	+	"ID=AT1G15410.1-Protein;Name=AT1G15410.1;Derives_from=AT1G15410.1"	AT1G15410.1
Chr1	5300931	5301412	-	"ID=AT1G15415.1-Protein;Name=AT1G15415.1;Derives_from=AT1G15415.1"	AT1G15415.1
Chr1	5301794	5303296	-	"ID=AT1G15420.1-Protein;Name=AT1G15420.1;Derives_from=AT1G15420.1"	AT1G15420.1
Chr1	5305011	5305790	+	"ID=AT1G15430.1-Protein;Name=AT1G15430.1;Derives_from=AT1G15430.1"	AT1G15430.1
Chr1	5305011	5305790	+	"ID=AT1G15430.2-Protein;Name=AT1G15430.2;Derives_from=AT1G15430.2"	AT1G15430.2
Chr1	5306159	5309460	-	"ID=AT1G15440.1-Protein;Name=AT1G15440.1;Derives_from=AT1G15440.1"	AT1G15440.1
Chr1	5306159	5309460	-	"ID=AT1G15440.2-Protein;Name=AT1G15440.2;Derives_from=AT1G15440.2"	AT1G15440.2
